title,workflow_json,catalog
查询换热网络历史数据（非综合评估）,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""Redesign\"",\""ability\"":\""上传数据与校验\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""Redesign\"",\""ability\"":\""指定现场限制条件\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热网络改造\"",\""dep\"":[\""id2\""]}]"", ""branch_rules"": ""[]""}",optimization
校准APC控制仪表（非优化）,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""builtin\"",\""ability\"":\""上传数据与解析\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""builtin\"",\""ability\"":\""确认解析结果\"",\""dep\"":[\""id1\""]}]"", ""branch_rules"": ""[]""}",statistics
维护计划制定，基于xlsx上传文件，帮我分析存在什么异常？,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""APC\"",\""ability\"":\""APC装置信息查询\"",\""dep\"":null},{\""id\"":\""id3\"",\""tool\"":\""APC\"",\""ability\"":\""装置指标实时指标数据查询\"",\""dep\"":[\""id1\""]},{\""id\"":\""id4\"",\""tool\"":\""APC\"",\""ability\"":\""控制器变量指标历史数据查询\"",\""dep\"":[\""id3\""]}]"", ""branch_rules"": ""[]""}",statistics
节能技术应用评估，常减压装置的设备和环节可能会造成用能瓶颈，请帮我评估一下并给出解决方案？,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""Redesign\"",\""ability\"":\""节能降耗瓶颈分析\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""Redesign\"",\""ability\"":\""上传数据与校验\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""Redesign\"",\""ability\"":\""选择改造目标\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热网络改造\"",\""dep\"":[\""id3\""]}]"", ""branch_rules"": ""[]""}",evaluation
运行多年性能基准，帮我评估整个换热网络的性能,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""Redesign\"",\""ability\"":\""上传数据与校验\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""Redesign\"",\""ability\"":\""识别换热网络瓶颈\"",\""dep\"":[\""id1\""]},{\""id\"":\""id4\"",\""tool\"":\""Redesign\"",\""ability\"":\""识别换热器瓶颈\"",\""dep\"":[\""id1\""]}]"", ""branch_rules"": ""[]""}",optimization
电解槽闭环控制，自动调温,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""boiler\"",\""ability\"":\""选择锅炉数据获取方式\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""boiler\"",\""ability\"":\""系统运行历史数据选择\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""boiler\"",\""ability\"":\""确认被控变量信息\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""boiler\"",\""ability\"":\""确认操作变量信息\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""boiler\"",\""ability\"":\""确认其它干扰变量信息\"",\""dep\"":[\""id4\"",\""id3\""]},{\""id\"":\""id6\"",\""tool\"":\""boiler\"",\""ability\"":\""控制模型微调或加载\"",\""dep\"":[\""id5\""]},{\""id\"":\""id7\"",\""tool\"":\""boiler\"",\""ability\"":\""控制效果评估\"",\""dep\"":[\""id6\""]},{\""id\"":\""id9\"",\""tool\"":\""boiler\"",\""ability\"":\""确认被控变量信息\"",\""dep\"":[\""id1\""]},{\""id\"":\""id10\"",\""tool\"":\""boiler\"",\""ability\"":\""确认操作变量信息\"",\""dep\"":[\""id9\""]},{\""id\"":\""id11\"",\""tool\"":\""boiler\"",\""ability\"":\""确认其它干扰变量信息\"",\""dep\"":[\""id10\"",\""id2\""]},{\""id\"":\""id12\"",\""tool\"":\""boiler\"",\""ability\"":\""控制模型加载\"",\""dep\"":[\""id11\""]},{\""id\"":\""id13\"",\""tool\"":\""boiler\"",\""ability\"":\""控制算法执行\"",\""dep\"":[\""id12\"",\""id11\""]}]"", ""branch_rules"": ""[{\""from\"":\""id2\"",\""to\"":\""id3\"",\""expression\"":\""Variable([String(\\\""run_mode\\\"")]) Eq \\\""offline\\\""\""},{\""from\"":\""id3\"",\""to\"":\""id4\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq false\""},{\""from\"":\""id11\"",\""to\"":\""id12\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq false\""},{\""from\"":\""id2\"",\""to\"":\""id11\"",\""expression\"":\""Variable([String(\\\""run_mode\\\"")]) Eq \\\""online\\\""\""},{\""from\"":\""id3\"",\""to\"":\""id5\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq true\""},{\""from\"":\""id11\"",\""to\"":\""id13\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq true\""}]""}",optimization
盐水流量调节阀异常识别，离线检测,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""anomaly_detection\"",\""ability\"":\""补充信息\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""anomaly_detection\"",\""ability\"":\""上传数据\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""anomaly_detection\"",\""ability\"":\""确认建模信息\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""anomaly_detection\"",\""ability\"":\""TPT模型微调\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""anomaly_detection\"",\""ability\"":\""TPT推理计算\"",\""dep\"":[\""id4\""]},{\""id\"":\""id7\"",\""tool\"":\""anomaly_detection\"",\""ability\"":\""执行检测算法\"",\""dep\"":[\""id5\""]}]"", ""branch_rules"": ""[{\""from\"":\""id2\"",\""to\"":\""id3\"",\""expression\"":\""Variable([String(\\\""is_contain_data\\\"")]) Eq true\""}]""}",evaluation
能耗审计发现能效偏低，常减压装置热换网络还有优化的空间吗？,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""Redesign\"",\""ability\"":\""上传数据与校验\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""Redesign\"",\""ability\"":\""识别换热网络瓶颈\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""Redesign\"",\""ability\"":\""选择改造目标\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热器改造\"",\""dep\"":[\""id3\""]}]"", ""branch_rules"": ""[]""}",optimization
节能技术应用评估，常减压装置的设备和环节可能会造成用能瓶颈，请帮我评估一下并给出解决方案？,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""Redesign\"",\""ability\"":\""节能降耗瓶颈分析\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""Redesign\"",\""ability\"":\""上传数据与校验\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""Redesign\"",\""ability\"":\""选择改造目标\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""Redesign\"",\""ability\"":\""指定现场限制条件\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热网络改造\"",\""dep\"":[\""id4\""]},{\""id\"":\""id7\"",\""tool\"":\""Redesign\"",\""ability\"":\""校验限制条件\"",\""dep\"":[\""id4\""]},{\""id\"":\""id8\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热网络改造\"",\""dep\"":[\""id7\""]}]"", ""branch_rules"": ""[{\""from\"":\""id4\"",\""to\"":\""id5\"",\""expression\"":\""Variable([String(\\\""branch_result\\\"")]) Eq 0\""},{\""from\"":\""id4\"",\""to\"":\""id7\"",\""expression\"":\""Variable([String(\\\""branch_result\\\"")]) Eq 1\""}]""}",evaluation
同类装置对比差异，分析一下常减压装置能耗高的原因,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""Redesign\"",\""ability\"":\""节能降耗瓶颈分析\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""Redesign\"",\""ability\"":\""上传数据与校验\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""Redesign\"",\""ability\"":\""识别换热器瓶颈\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""Redesign\"",\""ability\"":\""选择改造目标\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热器改造\"",\""dep\"":[\""id4\""]},{\""id\"":\""id7\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热网络改造\"",\""dep\"":[\""id4\""]}]"", ""branch_rules"": ""[]""}",evaluation
同类装置能效对比，常减压装置的设备和环节可能会造成用能瓶颈，请帮我评估一下并给出解决方案？,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""Redesign\"",\""ability\"":\""节能降耗瓶颈分析\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""Redesign\"",\""ability\"":\""上传数据与校验\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""Redesign\"",\""ability\"":\""识别换热器瓶颈\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热器改造\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热网络改造\"",\""dep\"":[\""id3\""]}]"", ""branch_rules"": ""[]""}",evaluation
工艺参数调整期，近期二级硫冷凝器出口的H2S浓度数据是否出现偏离正常范围的情况？未来是否有超标风险？,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""alarm_pred预测预警\"",\""ability\"":\""补充信息\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""alarm_pred预测预警\"",\""ability\"":\""上传数据\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""alarm_pred预测预警\"",\""ability\"":\""确认建模信息\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""alarm_pred预测预警\"",\""ability\"":\""TPT推理计算\"",\""dep\"":[\""id3\""]},{\""id\"":\""id6\"",\""tool\"":\""alarm_pred预测预警\"",\""ability\"":\""配置方案\"",\""dep\"":[\""id2\""]},{\""id\"":\""id7\"",\""tool\"":\""alarm_pred预测预警\"",\""ability\"":\""实时计算\"",\""dep\"":[\""id6\""]}]"", ""branch_rules"": ""[{\""from\"":\""id2\"",\""to\"":\""id3\"",\""expression\"":\""Variable([String(\\\""opt_model_selected\\\"")]) Eq false And Variable([String(\\\""is_contain_data\\\"")]) Eq true\""}]""}",prediction
节能技术应用评估，常减压装置的设备和环节可能会造成用能瓶颈，请帮我评估一下并给出解决方案？,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""Redesign\"",\""ability\"":\""节能降耗瓶颈分析\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""Redesign\"",\""ability\"":\""上传数据与校验\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""Redesign\"",\""ability\"":\""选择改造目标\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""Redesign\"",\""ability\"":\""识别换热网络瓶颈\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""Redesign\"",\""ability\"":\""指定现场限制条件\"",\""dep\"":[\""id4\""]},{\""id\"":\""id6\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热网络改造\"",\""dep\"":[\""id5\""]},{\""id\"":\""id8\"",\""tool\"":\""Redesign\"",\""ability\"":\""校验限制条件\"",\""dep\"":[\""id5\""]},{\""id\"":\""id9\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热网络改造\"",\""dep\"":[\""id8\""]},{\""id\"":\""id11\"",\""tool\"":\""Redesign\"",\""ability\"":\""识别换热器瓶颈\"",\""dep\"":[\""id4\""]},{\""id\"":\""id12\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热器改造\"",\""dep\"":[\""id11\""]}]"", ""branch_rules"": ""[{\""from\"":\""id5\"",\""to\"":\""id6\"",\""expression\"":\""Variable([String(\\\""branch_result\\\"")]) Eq 0\""},{\""from\"":\""id5\"",\""to\"":\""id8\"",\""expression\"":\""Variable([String(\\\""branch_result\\\"")]) Eq 1\""}]""}",evaluation
验证APC模型准确性（非创建模型）,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""自动建模预测\"",\""ability\"":\""上传数据\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""自动建模预测\"",\""ability\"":\""确认建模信息\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""自动建模预测\"",\""ability\"":\""TPT推理计算\"",\""dep\"":[\""id2\""]}]"", ""branch_rules"": ""[{\""from\"":\""id1\"",\""to\"":\""id2\"",\""expression\"":\""Variable([String(\\\""is_contain_data\\\"")]) Eq true\""}]""}",prediction
控制考试题，生成一下,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""PID\"",\""ability\"":\""回路信息查询\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""PID\"",\""ability\"":\""回路数据有效性检测\"",\""dep\"":[\""id1\""]},{\""id\"":\""id4\"",\""tool\"":\""PID\"",\""ability\"":\""基于专家经验的参数整定\"",\""dep\"":[\""id2\""]},{\""id\"":\""id6\"",\""tool\"":\""PID\"",\""ability\"":\""控制回路性能评估及诊断\"",\""dep\"":[\""id2\""]},{\""id\"":\""id7\"",\""tool\"":\""PID\"",\""ability\"":\""多策略自适应整定\"",\""dep\"":[\""id6\""]},{\""id\"":\""id9\"",\""tool\"":\""PID\"",\""ability\"":\""基于回路波形判断的参数迭代整定\"",\""dep\"":[\""id6\""]},{\""id\"":\""id11\"",\""tool\"":\""Redesign\"",\""ability\"":\""节能降耗瓶颈分析\"",\""dep\"":null},{\""id\"":\""id12\"",\""tool\"":\""Redesign\"",\""ability\"":\""选择改造目标\"",\""dep\"":[\""id11\""]},{\""id\"":\""id13\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热网络改造\"",\""dep\"":[\""id12\""]},{\""id\"":\""id15\"",\""tool\"":\""RTO操作优化\"",\""ability\"":\""补充信息\"",\""dep\"":null},{\""id\"":\""id16\"",\""tool\"":\""RTO操作优化\"",\""ability\"":\""上传数据\"",\""dep\"":[\""id15\""]},{\""id\"":\""id17\"",\""tool\"":\""RTO操作优化\"",\""ability\"":\""确认建模信息\"",\""dep\"":[\""id16\""]},{\""id\"":\""id18\"",\""tool\"":\""RTO操作优化\"",\""ability\"":\""TPT推理计算\"",\""dep\"":[\""id17\""]}]"", ""branch_rules"": ""[{\""from\"":\""id2\"",\""to\"":\""id4\"",\""expression\"":\""Variable([String(\\\""valid\\\"")]) Eq false\""},{\""from\"":\""id2\"",\""to\"":\""id6\"",\""expression\"":\""Variable([String(\\\""valid\\\"")]) Eq true\""},{\""from\"":\""id6\"",\""to\"":\""id7\"",\""expression\"":\""Variable([String(\\\""isValveOscillate\\\"")]) Eq false\""},{\""from\"":\""id6\"",\""to\"":\""id9\"",\""expression\"":\""Variable([String(\\\""isValveOscillate\\\"")]) Eq true\""},{\""from\"":\""id16\"",\""to\"":\""id17\"",\""expression\"":\""Variable([String(\\\""is_contain_data\\\"")]) Eq true\""}]""}",statistics
查询复杂回路当前控制参数（非AI智能控制构建）,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""PID\"",\""ability\"":\""回路信息查询\"",\""dep\"":null},{\""id\"":\""id3\"",\""tool\"":\""PID\"",\""ability\"":\""自动整定结果查询\"",\""dep\"":[\""id1\""]}]"", ""branch_rules"": ""[]""}",statistics
帮我创建一个控制模型,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""boiler\"",\""ability\"":\""选择锅炉数据获取方式\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""boiler\"",\""ability\"":\""确定锅炉类型\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""boiler\"",\""ability\"":\""系统运行历史数据选择\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""boiler\"",\""ability\"":\""确认被控变量信息\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""boiler\"",\""ability\"":\""确认操作变量信息\"",\""dep\"":[\""id4\"",\""id3\""]},{\""id\"":\""id6\"",\""tool\"":\""boiler\"",\""ability\"":\""确认其它干扰变量信息\"",\""dep\"":[\""id5\""]},{\""id\"":\""id7\"",\""tool\"":\""boiler\"",\""ability\"":\""控制模型微调或加载\"",\""dep\"":[\""id6\""]},{\""id\"":\""id8\"",\""tool\"":\""boiler\"",\""ability\"":\""控制算法执行\"",\""dep\"":[\""id7\""]},{\""id\"":\""id10\"",\""tool\"":\""boiler\"",\""ability\"":\""确定锅炉类型\"",\""dep\"":[\""id1\""]},{\""id\"":\""id11\"",\""tool\"":\""boiler\"",\""ability\"":\""系统运行历史数据选择\"",\""dep\"":[\""id10\"",\""id2\""]},{\""id\"":\""id12\"",\""tool\"":\""boiler\"",\""ability\"":\""确认被控变量信息\"",\""dep\"":[\""id11\""]},{\""id\"":\""id13\"",\""tool\"":\""boiler\"",\""ability\"":\""确认操作变量信息\"",\""dep\"":[\""id12\"",\""id11\""]},{\""id\"":\""id14\"",\""tool\"":\""boiler\"",\""ability\"":\""确认其它干扰变量信息\"",\""dep\"":[\""id13\""]},{\""id\"":\""id15\"",\""tool\"":\""boiler\"",\""ability\"":\""控制模型加载\"",\""dep\"":[\""id14\""]},{\""id\"":\""id16\"",\""tool\"":\""boiler\"",\""ability\"":\""控制算法执行\"",\""dep\"":[\""id15\""]}]"", ""branch_rules"": ""[{\""from\"":\""id2\"",\""to\"":\""id3\"",\""expression\"":\""Variable([String(\\\""run_mode\\\"")]) Eq \\\""offline\\\""\""},{\""from\"":\""id3\"",\""to\"":\""id4\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq false\""},{\""from\"":\""id11\"",\""to\"":\""id12\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq false\""},{\""from\"":\""id2\"",\""to\"":\""id11\"",\""expression\"":\""Variable([String(\\\""run_mode\\\"")]) Eq \\\""online\\\""\""},{\""from\"":\""id3\"",\""to\"":\""id5\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq true\""},{\""from\"":\""id11\"",\""to\"":\""id13\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq true\""}]""}",optimization
基于上传监测文件执行设备异常评估分析,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""anomaly_detection\"",\""ability\"":\""补充信息\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""anomaly_detection\"",\""ability\"":\""上传数据\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""anomaly_detection\"",\""ability\"":\""确认建模信息\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""anomaly_detection\"",\""ability\"":\""TPT模型微调\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""anomaly_detection\"",\""ability\"":\""TPT推理计算\"",\""dep\"":[\""id4\""]},{\""id\"":\""id7\"",\""tool\"":\""anomaly_detection\"",\""ability\"":\""上传高频数据\"",\""dep\"":[\""id5\""]},{\""id\"":\""id8\"",\""tool\"":\""anomaly_detection\"",\""ability\"":\""故障诊断\"",\""dep\"":[\""id7\""]}]"", ""branch_rules"": ""[{\""from\"":\""id2\"",\""to\"":\""id3\"",\""expression\"":\""Variable([String(\\\""is_contain_data\\\"")]) Eq true\""},{\""from\"":\""id5\"",\""to\"":\""id7\"",\""expression\"":\""Variable([String(\\\""diagnosis_flag\\\"")]) Eq true\""}]""}",evaluation
